score,name
65,hsa-miR-103a-2-5p
65,hsa-miR-6510-5p
65,hsa-miR-5010-3p
65,hsa-miR-4536-5p
65,hsa-miR-4506
65,hsa-miR-557
65,hsa-miR-1322
65,hsa-miR-216a-3p
65,hsa-miR-128-3p
65,hsa-miR-362-3p
65,hsa-miR-6806-5p
65,hsa-miR-4727-3p
65,hsa-miR-542-3p
65,hsa-miR-5692c
65,hsa-miR-5692b
65,hsa-miR-944
65,hsa-miR-6796-3p
65,hsa-miR-218-2-3p
65,hsa-miR-513b-5p
65,hsa-miR-3189-3p
65,hsa-miR-5680
64,hsa-miR-551b-5p
64,hsa-miR-7856-5p
64,hsa-miR-574-5p
64,hsa-miR-6833-5p
64,hsa-miR-3977
64,hsa-miR-519d-5p
64,hsa-miR-589-5p
64,hsa-miR-367-5p
64,hsa-miR-4999-3p
64,hsa-miR-6761-5p
64,hsa-miR-618
64,hsa-miR-12117
64,hsa-miR-4756-3p
64,hsa-miR-4797-3p
63,hsa-miR-3126-5p
63,hsa-miR-524-5p
63,hsa-miR-520d-5p
63,hsa-miR-4275
63,hsa-miR-4677-5p
63,hsa-miR-584-5p
63,hsa-miR-548f-3p
63,hsa-miR-548e-3p
63,hsa-miR-548bc
63,hsa-miR-383-3p
63,hsa-miR-506-3p
63,hsa-miR-124-3p
63,hsa-miR-548a-3p
63,hsa-miR-6716-5p
63,hsa-miR-323a-3p
63,hsa-miR-323a-5p
63,hsa-miR-7844-5p
62,hsa-miR-7702
62,hsa-miR-6513-3p
62,hsa-miR-4711-3p
62,hsa-miR-19b-2-5p
62,hsa-miR-19b-1-5p
62,hsa-miR-19a-5p
62,hsa-miR-5192
62,hsa-miR-4260
62,hsa-miR-578
62,hsa-miR-3622b-3p
62,hsa-miR-3622a-3p
62,hsa-miR-4307
62,hsa-miR-380-5p
62,hsa-miR-520a-5p
62,hsa-miR-1324
62,hsa-miR-548ay-3p
62,hsa-miR-548at-3p
62,hsa-miR-655-5p
62,hsa-miR-3620-3p
61,hsa-miR-5580-3p
61,hsa-miR-4742-5p
61,hsa-miR-543
61,hsa-miR-548u
61,hsa-miR-31-5p
61,hsa-let-7g-3p
61,hsa-let-7a-2-3p
61,hsa-miR-5196-5p
61,hsa-miR-4747-5p
61,hsa-miR-3616-5p
61,hsa-miR-532-5p
61,hsa-miR-15b-3p
61,hsa-miR-1265
61,hsa-miR-6826-5p
61,hsa-miR-4312
61,hsa-miR-3134
61,hsa-miR-642b-3p
61,hsa-miR-642a-3p
61,hsa-miR-148a-5p
61,hsa-miR-3928-3p
61,hsa-miR-4716-5p
61,hsa-miR-4748
61,hsa-miR-4509
61,hsa-miR-544a
61,hsa-miR-4289
60,hsa-miR-218-1-3p
60,hsa-miR-581
60,hsa-miR-5690
60,hsa-miR-3163
60,hsa-miR-4668-3p
60,hsa-miR-5702
60,hsa-miR-548v
60,hsa-miR-4464
60,hsa-miR-495-5p
60,hsa-miR-6771-3p
60,hsa-miR-153-5p
60,hsa-miR-29a-5p
60,hsa-miR-376c-3p
60,hsa-miR-876-3p
60,hsa-miR-4793-5p
60,hsa-miR-6782-3p
60,hsa-miR-519e-5p
60,hsa-miR-515-5p
60,hsa-miR-1197
60,hsa-miR-10b-3p
60,hsa-miR-4670-3p
60,hsa-miR-555
60,hsa-miR-3137
60,hsa-miR-3619-5p
60,hsa-miR-3161
59,hsa-miR-5011-3p
59,hsa-miR-607
59,hsa-miR-450b-5p
59,hsa-miR-12120
59,hsa-miR-6892-5p
59,hsa-miR-4267
59,hsa-miR-4303
59,hsa-miR-329-3p
59,hsa-miR-2681-5p
59,hsa-miR-6884-3p
59,hsa-miR-6847-3p
59,hsa-miR-138-5p
59,hsa-miR-4633-5p
59,hsa-miR-140-3p
59,hsa-miR-541-5p
59,hsa-miR-212-3p
59,hsa-miR-132-3p
59,hsa-miR-4793-3p
59,hsa-miR-592
59,hsa-miR-6076
59,hsa-miR-659-3p
59,hsa-miR-6801-5p
59,hsa-miR-10393-3p
59,hsa-miR-4280
58,hsa-miR-92a-1-5p
58,hsa-miR-770-5p
58,hsa-miR-4712-5p
58,hsa-miR-4694-3p
58,hsa-miR-138-2-3p
58,hsa-miR-1-5p
58,hsa-miR-3681-3p
58,hsa-miR-934
58,hsa-miR-3180-5p
58,hsa-miR-3121-3p
58,hsa-miR-922
58,hsa-miR-4305
58,hsa-miR-520f-5p
58,hsa-miR-3646
58,hsa-miR-937-5p
58,hsa-miR-4426
58,hsa-miR-4766-5p
58,hsa-miR-668-3p
58,hsa-miR-6755-5p
58,hsa-miR-563
58,hsa-miR-3923
58,hsa-miR-656-5p
58,hsa-miR-369-3p
58,hsa-miR-329-5p
57,hsa-miR-9-3p
57,hsa-miR-4680-3p
57,hsa-miR-562
57,hsa-miR-6134
57,hsa-miR-3972
57,hsa-miR-518c-5p
57,hsa-miR-1202
57,hsa-miR-1911-3p
57,hsa-miR-4650-3p
57,hsa-miR-5693
57,hsa-miR-7109-3p
57,hsa-miR-891b
57,hsa-miR-4697-3p
57,hsa-miR-4463
57,hsa-miR-4456
57,hsa-miR-1252-3p
57,hsa-miR-4789-3p
57,hsa-miR-217-3p
57,hsa-miR-3976
57,hsa-miR-3978
57,hsa-miR-4661-5p
57,hsa-miR-338-5p
57,hsa-miR-125a-3p
57,hsa-miR-525-5p
56,hsa-miR-4662a-3p
56,hsa-miR-4638-3p
56,hsa-miR-3918
56,hsa-miR-31-3p
56,hsa-miR-4705
56,hsa-miR-3659
56,hsa-miR-154-3p
56,hsa-miR-12135
56,hsa-miR-7153-3p
56,hsa-miR-4432
56,hsa-miR-3064-3p
56,hsa-miR-548ax
56,hsa-miR-548ao-5p
56,hsa-miR-4712-3p
56,hsa-miR-214-3p
56,hsa-miR-4699-3p
56,hsa-miR-570-3p
55,hsa-miR-3675-3p
55,hsa-miR-422a
55,hsa-miR-378i
55,hsa-miR-378h
55,hsa-miR-378f
55,hsa-miR-378e
55,hsa-miR-378d
55,hsa-miR-378c
55,hsa-miR-378b
55,hsa-miR-378a-3p
55,hsa-miR-4673
55,hsa-miR-214-5p
55,hsa-miR-4678
55,hsa-miR-4760-5p
55,hsa-miR-520e-5p
55,hsa-miR-6877-3p
55,hsa-miR-6516-5p
55,hsa-miR-140-5p
55,hsa-miR-26a-2-3p
55,hsa-miR-26a-1-3p
55,hsa-miR-5003-3p
55,hsa-miR-4727-5p
55,hsa-miR-582-5p
55,hsa-miR-6740-3p
55,hsa-miR-190a-3p
55,hsa-miR-1269b
55,hsa-miR-1269a
54,hsa-miR-6079
54,hsa-miR-12129
54,hsa-miR-151a-3p
54,hsa-miR-5697
54,hsa-miR-1276
54,hsa-miR-4691-3p
54,hsa-miR-3184-3p
54,hsa-miR-761
54,hsa-miR-5695
54,hsa-miR-9851-3p
54,hsa-miR-4503
54,hsa-miR-3688-3p
54,hsa-miR-6841-5p
54,hsa-miR-4496
54,hsa-miR-7156-3p
54,hsa-miR-5002-5p
54,hsa-miR-206
54,hsa-miR-1-3p
54,hsa-miR-6792-5p
54,hsa-miR-6750-3p
54,hsa-miR-15a-3p
54,hsa-miR-4776-3p
54,hsa-miR-6514-3p
54,hsa-miR-1915-5p
54,hsa-miR-8062
54,hsa-miR-3919
54,hsa-miR-4645-5p
54,hsa-miR-4272
54,hsa-miR-5683
54,hsa-miR-6819-3p
54,hsa-miR-6505-3p
54,hsa-miR-4511
53,hsa-miR-6849-3p
53,hsa-miR-3609
53,hsa-miR-219b-5p
53,hsa-miR-5572
53,hsa-miR-616-5p
